date,price
2020-06-10T23:07:14,2.773
2020-06-10T23:07:14,2.773
2020-06-10T23:07:14,2.774
2020-06-10T23:07:14,2.775
2020-06-10T23:07:14,2.774
2020-06-10T23:07:14,2.774
2020-06-10T23:07:14,2.774
2020-06-10T23:07:15,2.774
2020-06-10T23:07:15,2.776
2020-06-10T23:07:15,2.777
2020-06-10T23:07:15,2.777
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.779
2020-06-10T23:07:15,2.779
2020-06-10T23:07:15,2.778
2020-06-10T23:07:15,2.779
2020-06-10T23:07:15,2.779
2020-06-10T23:07:15,2.779
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:16,2.78
2020-06-10T23:07:17,2.779
2020-06-10T23:07:17,2.779
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.779
2020-06-10T23:07:17,2.779
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:17,2.78
2020-06-10T23:07:18,2.781
2020-06-10T23:07:18,2.782
2020-06-10T23:07:18,2.781
2020-06-10T23:07:18,2.782
2020-06-10T23:07:18,2.782
