date,Binance,Bitmex,Huobi,Okex
2020-06-05T19:10,8369547,8369547,4966460,5790020
2020-06-05T19:20,8369547,8369547,4952650,5784310
2020-06-05T19:30,8375148,8375148,4954620,5766490
2020-06-05T19:40,8400039,8400039,4973670,5772670
2020-06-05T19:50,8400039,8400039,4972580,5774120
2020-06-05T20:00,8425087,8425087,4973570,5771610
2020-06-05T20:10,8441953,8441953,4965230,5789640
2020-06-05T20:20,8441953,8441953,4964910,5775670
2020-06-05T20:30,8483750,8483750,4952000,5766080
2020-06-05T20:40,8441119,8441119,4959080,5780430
2020-06-05T20:50,8441119,8441119,4958860,5790560
2020-06-05T21:00,8399011,8399011,4977730,5813800
2020-06-05T21:10,8410681,8410681,4980570,5790330
2020-06-05T21:20,8410681,8410681,4983760,5787000
2020-06-05T21:30,8458747,8458747,5007790,5781970
2020-06-05T21:40,8462715,8462715,5007790,5777960
2020-06-05T21:50,8462715,8462715,5007060,5785280
2020-06-05T22:00,8490306,8490306,5012430,5782040
2020-06-05T22:10,8509347,8509347,5037500,5764980
2020-06-05T22:20,8509347,8509347,5033970,5770880
2020-06-05T22:30,8546474,8546474,5033320,5770540
2020-06-05T22:40,8539955,8539955,5054970,5763860
2020-06-05T22:50,8539955,8539955,5056340,5766540
2020-06-05T23:00,8520261,8520261,5002440,5773690
2020-06-05T23:10,8502086,8502086,5038230,5777310
2020-06-05T23:20,8502086,8502086,5028630,5760330
2020-06-05T23:30,8370256,8370256,5032770,5760020
2020-06-05T23:40,8285337,8285337,5082030,5910300
2020-06-05T23:50,8285337,8285337,5107410,5951070
2020-06-06T00:00,8304399,8304399,5193060,5991360
2020-06-06T00:10,8388356,8388356,5257820,5913960
2020-06-06T00:20,8388356,8388356,5344200,5892390
2020-06-06T00:30,8294214,8294214,5302520,5966740
2020-06-06T00:40,8249192,8249192,5312230,5978090
2020-06-06T00:50,8249192,8249192,5347260,6054680
2020-06-06T01:00,8207972,8207972,5345890,6094960
2020-06-06T01:10,8284302,8284302,5352370,6059750
2020-06-06T01:20,8284302,8284302,5350930,6049050
2020-06-06T01:30,8348353,8348353,5353550,6067690
2020-06-06T01:40,8386188,8386188,5364480,6046770
2020-06-06T01:50,8386188,8386188,5384820,6096150
2020-06-06T02:00,8406496,8406496,5360540,6118790
2020-06-06T02:10,8466095,8466095,5392350,6070000
2020-06-06T02:20,8466095,8466095,5462400,6076320
2020-06-06T02:30,8454215,8454215,5458790,6053630
2020-06-06T02:40,8472675,8472675,5461450,6075640
2020-06-06T02:50,8472675,8472675,5457550,6055830
2020-06-06T03:00,8487763,8487763,5459040,6049800
2020-06-06T03:10,8522998,8522998,5469700,6047720
2020-06-06T03:20,8522998,8522998,5488760,6041450
2020-06-06T03:30,8466357,8466357,5500620,6052740
2020-06-06T03:40,8400580,8400580,5496450,6045140
2020-06-06T03:50,8400580,8400580,5494340,6035130
2020-06-06T04:00,8448384,8448384,5522450,6070090
2020-06-06T04:10,8381651,8381651,5518920,6091350
2020-06-06T04:20,8381651,8381651,5512160,6081220
2020-06-06T04:30,8363663,8363663,5490160,6070090
2020-06-06T04:40,8327444,8327444,5493130,6036690
2020-06-06T04:50,8327444,8327444,5496740,6017610
2020-06-06T05:00,8333441,8333441,5506330,6012600
2020-06-06T05:10,8408892,8408892,5531220,6003390
2020-06-06T05:20,8408892,8408892,5521330,5952840
2020-06-06T05:30,8406571,8406571,5517090,5966930
2020-06-06T05:40,8328566,8328566,5504060,5967210
2020-06-06T05:50,8328566,8328566,5499580,5950660
2020-06-06T06:00,8329081,8329081,5500960,5934880
2020-06-06T06:10,8336728,8336728,5501280,5937790
2020-06-06T06:20,8336728,8336728,5504820,5914030
2020-06-06T06:30,8306448,8306448,5521190,5916550
2020-06-06T06:40,8352982,8352982,5537840,5916380
2020-06-06T06:50,8352982,8352982,5536840,5907880
2020-06-06T07:00,8342204,8342204,5554340,5907020
