date,Ftx,Huobi,Okex
2020-06-05T19:10,9407834,10615920,5441870
2020-06-05T19:20,9408660,10614840,5443000
2020-06-05T19:30,9420928,10609190,5535530
2020-06-05T19:40,9424769,10642790,5533240
2020-06-05T19:50,9450753,10630500,5519930
2020-06-05T20:00,9437510,10679900,5507190
2020-06-05T20:10,9419993,10680890,5480750
2020-06-05T20:20,9401358,10659670,5482050
2020-06-05T20:30,9349384,10659510,5482180
2020-06-05T20:40,9357404,10660990,5474190
2020-06-05T20:50,9358760,10666470,5477960
2020-06-05T21:00,9392188,10657000,5477910
2020-06-05T21:10,9360661,10661270,5473930
2020-06-05T21:20,9356454,10657650,5473940
2020-06-05T21:30,9364754,10639240,5469820
2020-06-05T21:40,9357425,10632960,5473600
2020-06-05T21:50,9366954,10638600,5474210
2020-06-05T22:00,9350646,10647940,5479470
2020-06-05T22:10,9335882,10629630,5478260
2020-06-05T22:20,9374913,10672930,5475000
2020-06-05T22:30,9348298,10719530,5475080
2020-06-05T22:40,9258182,10728340,5473480
2020-06-05T22:50,9277294,10732520,5474690
2020-06-05T23:00,9275287,10731590,5474890
2020-06-05T23:10,9257665,10748000,5474070
2020-06-05T23:20,9248451,10773120,5473400
2020-06-05T23:30,9276243,10763390,5473800
2020-06-05T23:40,9282146,10779690,5475750
2020-06-05T23:50,9263343,10785500,5454700
2020-06-06T00:00,9237416,10821500,5435400
