date,Huobi
2020-06-09T19:10,10500130
2020-06-09T19:20,10499990
2020-06-09T19:30,10476490
2020-06-09T19:40,10462940
2020-06-09T19:50,10455910
2020-06-09T20:00,10478120
2020-06-09T20:10,10460780
2020-06-09T20:20,10436140
2020-06-09T20:30,10450490
2020-06-09T20:40,10452330
2020-06-09T20:50,10445300
2020-06-09T21:00,10447260
2020-06-09T21:10,10447260
2020-06-09T21:20,10443030
2020-06-09T21:30,10435530
2020-06-09T21:40,10382760
2020-06-09T21:50,10388330
2020-06-09T22:00,10385840
2020-06-09T22:10,10352880
2020-06-09T22:20,10383970
2020-06-09T22:30,10410710
2020-06-09T22:40,10428440
2020-06-09T22:50,10444630
2020-06-09T23:00,10433340
2020-06-09T23:10,10430330
2020-06-09T23:20,10423370
2020-06-09T23:30,10400300
2020-06-09T23:40,10397380
2020-06-09T23:50,10389130
2020-06-10T00:00,10363740
2020-06-10T00:10,10352360
2020-06-10T00:20,10370290
2020-06-10T00:30,10375820
2020-06-10T00:40,10397100
2020-06-10T00:50,10389740
2020-06-10T01:00,10383850
2020-06-10T01:10,10344300
2020-06-10T01:20,10376260
2020-06-10T01:30,10399050
2020-06-10T01:40,10403900
2020-06-10T01:50,10372230
2020-06-10T02:00,10378240
2020-06-10T02:10,10366710
2020-06-10T02:20,10366910
2020-06-10T02:30,10395300
2020-06-10T02:40,10429860
2020-06-10T02:50,10414540
2020-06-10T03:00,10414020
2020-06-10T03:10,10400140
2020-06-10T03:20,10398990
2020-06-10T03:30,10401110
2020-06-10T03:40,10404680
2020-06-10T03:50,10405070
2020-06-10T04:00,10403200
2020-06-10T04:10,10387190
2020-06-10T04:20,10393220
2020-06-10T04:30,10406760
2020-06-10T04:40,10407240
2020-06-10T04:50,10447580
2020-06-10T05:00,10482270
2020-06-10T05:10,10475840
2020-06-10T05:20,10566520
2020-06-10T05:30,10711010
2020-06-10T05:40,10706230
2020-06-10T05:50,10773770
2020-06-10T06:00,10793450
2020-06-10T06:10,10892930
2020-06-10T06:20,10885060
2020-06-10T06:30,10806600
2020-06-10T06:40,10852380
2020-06-10T06:50,10887490
2020-06-10T07:00,10868340
2020-06-10T07:10,10908950
2020-06-10T07:20,10310260
2020-06-10T07:30,10140980
2020-06-10T07:40,10182320
2020-06-10T07:50,10213930
2020-06-10T08:00,10248510
2020-06-10T08:10,10163610
2020-06-10T08:20,10258890
2020-06-10T08:30,10227780
2020-06-10T08:40,10250720
2020-06-10T08:50,10275560
2020-06-10T09:00,10261870
