date,value
2020-06-10T03:39:14,72575139
2020-06-10T03:40:14,72575139
2020-06-10T03:41:14,72575139
2020-06-10T03:42:15,72575139
2020-06-10T03:43:15,72575139
2020-06-10T03:44:15,72575139
2020-06-10T03:45:15,72575139
2020-06-10T03:46:16,72575139
2020-06-10T03:47:16,72575139
2020-06-10T03:48:16,72575139
2020-06-10T03:49:16,72575139
2020-06-10T03:50:17,72575139
2020-06-10T03:51:17,72575139
2020-06-10T03:52:17,72575139
2020-06-10T03:53:17,73024732
2020-06-10T03:54:18,73024732
2020-06-10T03:55:18,73024732
2020-06-10T03:56:18,73024732
2020-06-10T03:57:18,73024732
2020-06-10T03:58:19,73024732
2020-06-10T03:59:19,73024732
2020-06-10T04:00:19,73024732
2020-06-10T04:01:19,73024732
2020-06-10T04:02:20,73024732
2020-06-10T04:03:20,73024732
2020-06-10T04:04:20,73024732
2020-06-10T04:05:20,73024732
2020-06-10T04:06:21,73024732
2020-06-10T04:07:21,73024732
2020-06-10T04:08:21,72952328
2020-06-10T04:09:21,72952328
2020-06-10T04:10:22,72952328
2020-06-10T04:11:22,72952328
2020-06-10T04:12:22,72952328
2020-06-10T04:13:22,72952328
2020-06-10T04:14:23,72952328
2020-06-10T04:15:23,72952328
2020-06-10T04:16:23,72952328
2020-06-10T04:17:23,72952328
2020-06-10T04:18:24,72952328
2020-06-10T04:19:24,72952328
2020-06-10T04:20:24,72952328
2020-06-10T04:21:24,72952328
2020-06-10T04:22:24,72952328
2020-06-10T04:23:25,72927988
2020-06-10T04:24:25,72927988
2020-06-10T04:25:25,72927988
2020-06-10T04:26:25,72927988
2020-06-10T04:27:26,72927988
2020-06-10T04:28:26,72927988
2020-06-10T04:29:26,72927988
2020-06-10T04:30:26,72927988
2020-06-10T04:31:27,72927988
2020-06-10T04:32:27,72927988
2020-06-10T04:33:27,72927988
2020-06-10T04:34:27,72927988
2020-06-10T04:35:28,72927988
2020-06-10T04:36:28,72927988
2020-06-10T04:37:28,72927988
2020-06-10T04:38:28,72904039
2020-06-10T04:39:29,72904039
2020-06-10T04:40:29,72904039
2020-06-10T04:41:29,72904039
2020-06-10T04:42:29,72904039
2020-06-10T04:43:29,72904039
2020-06-10T04:44:30,72904039
2020-06-10T04:45:30,72904039
2020-06-10T04:46:30,72904039
2020-06-10T04:47:30,72904039
2020-06-10T04:48:31,72904039
2020-06-10T04:49:31,72904039
2020-06-10T04:50:31,72904039
2020-06-10T04:51:31,72904039
2020-06-10T04:52:32,72904039
2020-06-10T04:53:32,72934537
2020-06-10T04:54:32,72934537
2020-06-10T04:55:32,72934537
2020-06-10T04:56:32,72934537
2020-06-10T04:57:33,72934537
2020-06-10T04:58:33,72934537
2020-06-10T04:59:33,72934537
2020-06-10T05:00:34,72934537
2020-06-10T05:01:34,72934537
2020-06-10T05:02:34,72934537
2020-06-10T05:03:34,72934537
2020-06-10T05:04:35,72934537
2020-06-10T05:05:35,72934537
2020-06-10T05:06:35,72934537
2020-06-10T05:07:35,72934537
2020-06-10T05:08:35,72780827
2020-06-10T05:09:36,72780827
2020-06-10T05:10:36,72780827
2020-06-10T05:11:36,72780827
2020-06-10T05:12:36,72780827
2020-06-10T05:13:37,72780827
2020-06-10T05:14:37,72780827
2020-06-10T05:15:37,72780827
2020-06-10T05:16:37,72780827
2020-06-10T05:17:38,72780827
2020-06-10T05:18:38,72780827
2020-06-10T05:19:38,72780827
2020-06-10T05:20:38,72780827
2020-06-10T05:21:38,72780827
2020-06-10T05:22:39,72780827
2020-06-10T05:23:39,72376078
2020-06-10T05:24:39,72376078
2020-06-10T05:25:39,72376078
2020-06-10T05:26:40,72376078
2020-06-10T05:27:40,72376078
2020-06-10T05:28:40,72376078
2020-06-10T05:29:40,72376078
2020-06-10T05:30:41,72376078
2020-06-10T05:31:41,72376078
2020-06-10T05:32:41,72376078
2020-06-10T05:33:41,72376078
2020-06-10T05:34:42,72376078
2020-06-10T05:35:42,72376078
2020-06-10T05:36:42,72376078
2020-06-10T05:37:42,72376078
2020-06-10T05:38:43,71833772
2020-06-10T05:39:43,71833772
2020-06-10T05:40:43,71833772
2020-06-10T05:41:43,71833772
2020-06-10T05:42:44,71833772
2020-06-10T05:43:44,71833772
2020-06-10T05:44:44,71833772
2020-06-10T05:45:44,71833772
2020-06-10T05:46:45,71833772
2020-06-10T05:47:45,71833772
2020-06-10T05:48:45,71833772
2020-06-10T05:49:45,71833772
2020-06-10T05:50:46,71833772
2020-06-10T05:51:46,71833772
2020-06-10T05:52:46,71833772
2020-06-10T05:53:46,71847642
2020-06-10T05:54:46,71847642
2020-06-10T05:55:47,71847642
2020-06-10T05:56:47,71847642
2020-06-10T05:57:47,71847642
2020-06-10T05:58:47,71847642
2020-06-10T05:59:48,71847642
2020-06-10T06:00:48,71847642
2020-06-10T06:01:48,71847642
2020-06-10T06:02:48,71847642
2020-06-10T06:03:49,71847642
2020-06-10T06:04:49,71847642
2020-06-10T06:05:49,71847642
2020-06-10T06:06:49,71847642
2020-06-10T06:07:50,71847642
2020-06-10T06:08:50,71873508
2020-06-10T06:09:50,71873508
2020-06-10T06:10:50,71873508
2020-06-10T06:11:51,71873508
2020-06-10T06:12:51,71873508
2020-06-10T06:13:51,71873508
2020-06-10T06:14:51,71873508
2020-06-10T06:15:52,71873508
2020-06-10T06:16:52,71873508
2020-06-10T06:17:52,71873508
2020-06-10T06:18:52,71873508
2020-06-10T06:19:52,71873508
2020-06-10T06:20:53,71873508
2020-06-10T06:21:53,71873508
2020-06-10T06:22:53,71873508
2020-06-10T06:23:53,71781086
2020-06-10T06:24:54,71781086
2020-06-10T06:25:54,71781086
2020-06-10T06:26:54,71781086
2020-06-10T06:27:54,71781086
2020-06-10T06:28:55,71781086
2020-06-10T06:29:55,71781086
2020-06-10T06:30:55,71781086
2020-06-10T06:31:55,71781086
2020-06-10T06:32:55,71781086
2020-06-10T06:33:56,71781086
2020-06-10T06:34:56,71781086
2020-06-10T06:35:56,71781086
2020-06-10T06:36:56,71781086
2020-06-10T06:37:57,71781086
2020-06-10T06:38:57,71791579
2020-06-10T06:39:57,71791579
2020-06-10T06:40:57,71791579
2020-06-10T06:41:58,71791579
2020-06-10T06:42:58,71791579
2020-06-10T06:43:58,71791579
2020-06-10T06:44:58,71791579
2020-06-10T06:45:59,71791579
2020-06-10T06:46:59,71791579
2020-06-10T06:47:59,71791579
2020-06-10T06:48:59,71791579
2020-06-10T06:49:59,71791579
2020-06-10T06:51:00,71791579
2020-06-10T06:52:00,71791579
2020-06-10T06:53:00,71791579
2020-06-10T06:54:00,71778362
2020-06-10T06:55:01,71778362
2020-06-10T06:56:01,71778362
2020-06-10T06:57:01,71778362
2020-06-10T06:58:01,71778362
2020-06-10T06:59:02,71778362
2020-06-10T07:00:02,71778362
2020-06-10T07:01:02,71778362
2020-06-10T07:02:02,71778362
2020-06-10T07:03:03,71778362
2020-06-10T07:04:03,71778362
2020-06-10T07:05:03,71778362
2020-06-10T07:06:03,71778362
2020-06-10T07:07:04,71778362
2020-06-10T07:08:04,71778362
2020-06-10T07:09:04,72415755
2020-06-10T07:10:04,72415755
2020-06-10T07:11:04,72415755
2020-06-10T07:12:05,72415755
2020-06-10T07:13:05,72415755
2020-06-10T07:14:05,72415755
2020-06-10T07:15:05,72415755
2020-06-10T07:16:06,72415755
2020-06-10T07:17:06,72415755
2020-06-10T07:18:06,72415755
2020-06-10T07:19:07,72415755
2020-06-10T07:20:07,72415755
2020-06-10T07:21:07,72415755
2020-06-10T07:22:07,72415755
2020-06-10T07:23:08,72415755
2020-06-10T07:24:08,72725452
2020-06-10T07:25:08,72725452
2020-06-10T07:26:08,72725452
2020-06-10T07:27:09,72725452
2020-06-10T07:28:09,72725452
2020-06-10T07:29:09,72725452
2020-06-10T07:30:09,72725452
2020-06-10T07:31:10,72725452
2020-06-10T07:32:10,72725452
2020-06-10T07:33:10,72725452
2020-06-10T07:34:10,72725452
