date,XBTUSD,BTCUSD
2020-06-08T01:20,584871364,193606186
2020-06-08T01:30,582614808,193526354
2020-06-08T01:40,582388797,194357334
2020-06-08T01:50,582081389,194331416
2020-06-08T02:00,582101473,194406826
2020-06-08T02:10,582273995,194938354
2020-06-08T02:20,583826613,194768930
2020-06-08T02:30,586867857,194437036
2020-06-08T02:40,586984891,190521858
2020-06-08T02:50,587317189,191000220
2020-06-08T03:00,586456259,190495044
2020-06-08T03:10,586715506,190607464
2020-06-08T03:20,586484054,190635770
2020-06-08T03:30,585504820,189880208
2020-06-08T03:40,587107432,188874434
2020-06-08T03:50,587225083,188737098
2020-06-08T04:00,586632047,189936882
2020-06-08T04:10,586867418,191040494
2020-06-08T04:20,586506395,190964190
2020-06-08T04:30,587334099,192057550
2020-06-08T04:40,588892222,192107962
2020-06-08T04:50,589186745,191026904
2020-06-08T05:00,589370179,190746296
2020-06-08T05:10,589572977,190232408
2020-06-08T05:20,590111734,190450424
2020-06-08T05:30,590794597,190238078
2020-06-08T05:40,591178221,191361184
2020-06-08T05:50,593204461,193156874
2020-06-08T06:00,593375427,192285428
2020-06-08T06:10,594805829,192617618
2020-06-08T06:20,594840512,191709026
2020-06-08T06:30,596572122,192034058
2020-06-08T06:40,596861434,191100814
2020-06-08T06:50,597727239,191287408
2020-06-08T07:00,598346297,191895454
2020-06-08T07:10,598201304,192443824
2020-06-08T07:20,598748104,192636050
2020-06-08T07:30,598769951,193525528
2020-06-08T07:40,598950004,193735942
2020-06-08T07:50,599132979,192472114
2020-06-08T08:00,599806570,192904480
2020-06-08T08:10,601732840,193187988
2020-06-08T08:20,594644733,183459794
2020-06-08T08:30,595254025,186495390
2020-06-08T08:40,596865914,185433616
2020-06-08T08:50,598351465,186645196
2020-06-08T09:00,601911629,186281294
2020-06-08T09:10,602732971,187175840
2020-06-08T09:20,602460425,188987956
2020-06-08T09:30,594221138,185637308
2020-06-08T09:40,598011235,187442540
2020-06-08T09:50,598594279,189650644
2020-06-08T10:00,599863509,190100496
2020-06-08T10:10,600407674,189897364
2020-06-08T10:20,600157913,189635200
2020-06-08T10:30,600818463,190368966
2020-06-08T10:40,600454180,190333072
2020-06-08T10:50,600608771,191674448
2020-06-08T11:00,600386630,191133276
2020-06-08T11:10,602154662,190785668
2020-06-08T11:20,601889562,191150060
2020-06-08T11:30,601492302,191105096
2020-06-08T11:40,603521075,190611880
2020-06-08T11:50,603836045,190457788
2020-06-08T12:00,606269486,192230466
