date,Binance,Huobi
2020-06-11T19:10,31757,31757
2020-06-11T19:20,31757,31757
2020-06-11T19:30,31904,31904
2020-06-11T19:40,31949,31949
2020-06-11T19:50,31949,31949
2020-06-11T20:00,32237,32237
2020-06-11T20:10,32355,32355
2020-06-11T20:20,32355,32355
2020-06-11T20:30,32748,32748
2020-06-11T20:40,32464,32464
2020-06-11T20:50,32464,32464
2020-06-11T21:00,32256,32256
2020-06-11T21:10,32134,32134
2020-06-11T21:20,32134,32134
2020-06-11T21:30,31918,31918
2020-06-11T21:40,32047,32047
2020-06-11T21:50,32047,32047
2020-06-11T22:00,32100,32100
2020-06-11T22:10,32069,32069
2020-06-11T22:20,32069,32069
2020-06-11T22:30,32110,32110
2020-06-11T22:40,32179,32179
2020-06-11T22:50,32179,32179
2020-06-11T23:00,32091,32091
2020-06-11T23:10,32175,32175
2020-06-11T23:20,32175,32175
2020-06-11T23:30,32038,32038
2020-06-11T23:40,32171,32171
2020-06-11T23:50,32171,32171
2020-06-12T00:00,32241,32241
2020-06-12T00:10,32212,32212
2020-06-12T00:20,32212,32212
2020-06-12T00:30,32049,32049
2020-06-12T00:40,31881,31881
2020-06-12T00:50,31881,31881
2020-06-12T01:00,31925,31925
2020-06-12T01:10,31925,31925
2020-06-12T01:20,31913,31913
2020-06-12T01:30,31897,31897
2020-06-12T01:40,31808,31808
2020-06-12T01:50,31808,31808
2020-06-12T02:00,31786,31786
2020-06-12T02:10,31826,31826
2020-06-12T02:20,31826,31826
2020-06-12T02:30,31846,31846
2020-06-12T02:40,31914,31914
2020-06-12T02:50,31914,31914
2020-06-12T03:00,31950,31950
2020-06-12T03:10,32108,32108
2020-06-12T03:20,32108,32108
2020-06-12T03:30,32153,32153
2020-06-12T03:40,32137,32137
2020-06-12T03:50,32137,32137
2020-06-12T04:00,32110,32110
2020-06-12T04:10,32129,32129
2020-06-12T04:20,32129,32129
2020-06-12T04:30,32195,32195
2020-06-12T04:40,32195,32195
2020-06-12T04:50,32177,32177
2020-06-12T05:00,32145,32145
2020-06-12T05:10,32145,32145
2020-06-12T05:20,32102,32102
2020-06-12T05:30,32156,32156
2020-06-12T05:40,32156,32156
2020-06-12T05:50,32173,32173
2020-06-12T06:00,32280,32280
2020-06-12T06:10,32280,32280
2020-06-12T06:20,32274,32274
2020-06-12T06:30,32280,32280
2020-06-12T06:40,32324,32324
2020-06-12T06:50,32324,32324
2020-06-12T07:00,32454,32454
2020-06-12T07:10,32411,32411
2020-06-12T07:20,32411,32411
2020-06-12T07:30,31934,31934
2020-06-12T07:40,31864,31864
2020-06-12T07:50,31864,31864
2020-06-12T08:00,31890,31890
