Ftx,Huobi,Okex
52279,52279,52279
52820,52820,52820
53676,53676,53676
53676,53676,53676
53782,53782,53782
53515,53515,53515
53515,53515,53515
53815,53815,53815
53928,53928,53928
53928,53928,53928
54249,54249,54249
53993,53993,53993
53993,53993,53993
54136,54136,54136
53712,53712,53712
53712,53712,53712
54165,54165,54165
54264,54264,54264
54264,54264,54264
54376,54376,54376
56381,56381,56381
56381,56381,56381
55850,55850,55850
55728,55728,55728
55728,55728,55728
55664,55664,55664
55538,55538,55538
55538,55538,55538
55376,55376,55376
55278,55278,55278
55278,55278,55278
55461,55461,55461
55382,55382,55382
55382,55382,55382
55221,55221,55221
55310,55310,55310
55310,55310,55310
55533,55533,55533
55572,55572,55572
55572,55572,55572
55567,55567,55567
55135,55135,55135
55135,55135,55135
55509,55509,55509
55027,55027,55027
55027,55027,55027
55097,55097,55097
54904,54904,54904
54904,54904,54904
55052,55052,55052
55200,55200,55200
55200,55200,55200
55537,55537,55537
55396,55396,55396
55396,55396,55396
55597,55597,55597
55654,55654,55654
55654,55654,55654
55788,55788,55788
56077,56077,56077
56077,56077,56077
56358,56358,56358
56537,56537,56537
56537,56537,56537
56647,56647,56647
56050,56050,56050
56050,56050,56050
56687,56687,56687
56729,56729,56729
56729,56729,56729
57075,57075,57075
57074,57074,57074
57074,57074,57074
57073,57073,57073
57042,57042,57042
57042,57042,57042
57173,57173,57173
57156,57156,57156
57156,57156,57156
57176,57176,57176
57177,57177,57177
57177,57177,57177
57166,57166,57166
57143,57143,57143
57143,57143,57143
57035,57035,57035
56842,56842,56842
56842,56842,56842
56967,56967,56967
57063,57063,57063
57063,57063,57063
57452,57452,57452
57648,57648,57648
57648,57648,57648
57845,57845,57845
57966,57966,57966
57966,57966,57966
58500,58500,58500
58415,58415,58415
58415,58415,58415
58299,58299,58299
58289,58289,58289
58289,58289,58289
58353,58353,58353
58215,58215,58215
58215,58215,58215
56814,56814,56814
56949,56949,56949
56949,56949,56949
56972,56972,56972
54361,54361,54361
54361,54361,54361
54290,54290,54290
54265,54265,54265
54265,54265,54265
54414,54414,54414
53546,53546,53546
53546,53546,53546
53605,53605,53605
53689,53689,53689
53689,53689,53689
53773,53773,53773
53513,53513,53513
53513,53513,53513
53358,53358,53358
53380,53380,53380
53380,53380,53380
53075,53075,53075
53096,53096,53096
53096,53096,53096
53489,53489,53489
53288,53288,53288
53288,53288,53288
52888,52888,52888
52698,52698,52698
52698,52698,52698
52666,52666,52666
52748,52748,52748
52748,52748,52748
53186,53186,53186
53150,53150,53150
53150,53150,53150
53413,53413,53413
53502,53502,53502
53502,53502,53502
53207,53207,53207
52979,52979,52979
52979,52979,52979
52915,52915,52915
52965,52965,52965
52965,52965,52965
52767,52767,52767
52193,52193,52193
52193,52193,52193
52265,52265,52265
52204,52204,52204
52204,52204,52204
52312,52312,52312
53093,53093,53093
53093,53093,53093
53070,53070,53070
53325,53325,53325
53325,53325,53325
53459,53459,53459
53780,53780,53780
53780,53780,53780
53939,53939,53939
53706,53706,53706
53706,53706,53706
53641,53641,53641
53641,53641,53641
52841,52841,52841
53264,53264,53264
53264,53264,53264
52752,52752,52752
52638,52638,52638
52638,52638,52638
52672,52672,52672
52880,52880,52880
53690,53690,53690
53690,53690,53690
53328,53328,53328
