date,ETHUSD
2020-06-13T15:40:00,26706424
2020-06-13T15:50:00,26708246
2020-06-13T16:00:00,26792692
2020-06-13T16:10:00,26747858
2020-06-13T16:20:00,26512472
2020-06-13T16:30:00,26398844
2020-06-13T16:40:00,26719134
2020-06-13T16:50:00,27285482
2020-06-13T17:00:00,27319030
2020-06-13T17:10:00,27213362
2020-06-13T17:20:00,27190436
2020-06-13T17:30:00,27202432
2020-06-13T17:40:00,27207098
2020-06-13T17:50:00,27168180
2020-06-13T18:00:00,27174468
2020-06-13T18:10:00,27213174
2020-06-13T18:20:00,26765550
2020-06-13T18:30:00,26403780
2020-06-13T18:40:00,26494666
2020-06-13T18:50:00,26804468
2020-06-13T19:00:00,26722499
2020-06-13T19:10:00,26701174
2020-06-13T19:20:00,26659558
2020-06-13T19:30:00,26799540
2020-06-13T19:40:00,26672052
2020-06-13T19:50:00,26599430
2020-06-13T20:00:00,26311514
2020-06-13T20:10:00,26273904
2020-06-13T20:20:00,26226270
2020-06-13T20:30:00,26264526
2020-06-13T20:40:00,26350406
2020-06-13T20:50:00,26200264
2020-06-13T21:00:00,26198242
2020-06-13T21:10:00,26178880
2020-06-13T21:20:00,26157684
2020-06-13T21:30:00,26152616
2020-06-13T21:40:00,26151000
2020-06-13T21:50:00,26210930
2020-06-13T22:00:00,26217698
2020-06-13T22:10:00,26117370
2020-06-13T22:20:00,26057438
2020-06-13T22:30:00,26048572
2020-06-13T22:40:00,26067720
2020-06-13T22:50:00,26233026
2020-06-13T23:00:00,26239006
2020-06-13T23:10:00,26188856
2020-06-13T23:20:00,26251612
2020-06-13T23:30:00,26299792
2020-06-13T23:40:00,26278762
2020-06-13T23:50:00,26281292
2020-06-14T00:00:00,26618674
2020-06-14T00:10:00,26714004
2020-06-14T00:20:00,26713428
2020-06-14T00:30:00,26474500
2020-06-14T00:40:00,26568086
2020-06-14T00:50:00,26475194
2020-06-14T01:00:00,26502038
2020-06-14T01:10:00,26497620
2020-06-14T01:20:00,26493032
2020-06-14T01:30:00,26427182
2020-06-14T01:40:00,26456350
2020-06-14T01:50:00,26456526
2020-06-14T02:00:00,26612826
2020-06-14T02:10:00,26631578
2020-06-14T02:20:00,26534420
2020-06-14T02:30:00,26508660
2020-06-14T02:40:00,26503450
2020-06-14T02:50:00,26499172
2020-06-14T03:00:00,26499552
2020-06-14T03:10:00,26506692
2020-06-14T03:20:00,26507620
2020-06-14T03:30:00,26500828
2020-06-14T03:40:00,26516376
